#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
5,23,2.75,1.61525,0.599496,-0.491783,192,0.0467061,0.00233531,0.05,0.417528,0.555726
5,24,2.75,1.61525,0.599496,-0.491783,200,0.0503571,0.00251785,0.05,0.417528,0.555726
5,25,2.75,1.61525,0.599496,-0.491783,208,0.0472798,0.00236399,0.05,0.417528,0.555726
5,26,2.75,1.61525,0.599496,-0.491783,216,0.0472652,0.00236326,0.05,0.417528,0.555726
5,27,2.75,1.61525,0.599496,-0.491783,224,0.0519415,0.00259707,0.05,0.417528,0.555726
5,28,2.75,1.61525,0.599496,-0.491783,232,0.0497882,0.00248941,0.05,0.417528,0.555726
5,29,2.75,1.61525,0.599496,-0.491783,240,0.0514533,0.00257266,0.05,0.417528,0.555726
5,30,2.75,1.61525,0.599496,-0.491783,248,0.049321,0.00246605,0.05,0.417528,0.555726
5,31,2.75,1.61525,0.599496,-0.491783,256,0.0549757,0.00274879,0.05,0.417528,0.555726
5,32,2.75,1.61525,0.599496,-0.491783,264,0.059134,0.0029567,0.05,0.417528,0.555726
5,33,2.75,1.61525,0.599496,-0.491783,272,0.0569869,0.00284934,0.05,0.417528,0.555726
5,34,2.75,1.61525,0.599496,-0.491783,280,0.0595209,0.00297605,0.05,0.417528,0.555726
5,35,2.75,1.61525,0.599496,-0.491783,288,0.0585662,0.00292831,0.05,0.417528,0.555726
5,36,2.75,1.61525,0.599496,-0.491783,296,0.0605407,0.00302704,0.05,0.417528,0.555726
5,37,2.75,1.61525,0.599496,-0.491783,304,0.06952,0.003476,0.05,0.417528,0.555726
5,38,2.75,1.61525,0.599496,-0.491783,312,0.0687095,0.00343548,0.05,0.417528,0.555726
5,39,2.75,1.61525,0.599496,-0.491783,320,0.067756,0.0033878,0.05,0.417528,0.555726
5,40,2.75,1.61525,0.599496,-0.491783,328,0.0812013,0.00406007,0.05,0.417528,0.555726
5,41,2.75,1.61525,0.599496,-0.491783,336,0.0752566,0.00376283,0.05,0.417528,0.555726
5,42,2.75,1.61525,0.599496,-0.491783,344,0.0779222,0.00389611,0.05,0.417528,0.555726
5,43,2.75,1.61525,0.599496,-0.491783,352,0.0710116,0.00355058,0.05,0.417528,0.555726
5,44,2.75,1.61525,0.599496,-0.491783,360,0.0825128,0.00412564,0.05,0.417528,0.555726
6,0,2.75,1.81202,0.384596,-0.443662,8,0.72873,0.0364365,0.05,0.4451,0.60704
6,1,2.75,1.81202,0.384596,-0.443662,16,0.626269,0.0313134,0.05,0.4451,0.60704
6,2,2.75,1.81202,0.384596,-0.443662,24,0.537613,0.0268806,0.05,0.4451,0.60704
6,3,2.75,1.81202,0.384596,-0.443662,32,0.479751,0.0239876,0.05,0.4451,0.60704
6,4,2.75,1.81202,0.384596,-0.443662,40,0.372285,0.0186142,0.05,0.4451,0.60704
6,5,2.75,1.81202,0.384596,-0.443662,48,0.33788,0.016894,0.05,0.4451,0.60704
6,6,2.75,1.81202,0.384596,-0.443662,56,0.274265,0.0137133,0.05,0.4451,0.60704
6,7,2.75,1.81202,0.384596,-0.443662,64,0.236467,0.0118234,0.05,0.4451,0.60704
6,8,2.75,1.81202,0.384596,-0.443662,72,0.21864,0.010932,0.05,0.4451,0.60704
6,9,2.75,1.81202,0.384596,-0.443662,80,0.17094,0.00854699,0.05,0.4451,0.60704
6,10,2.75,1.81202,0.384596,-0.443662,88,0.140466,0.00702332,0.05,0.4451,0.60704
6,11,2.75,1.81202,0.384596,-0.443662,96,0.143969,0.00719844,0.05,0.4451,0.60704
6,12,2.75,1.81202,0.384596,-0.443662,104,0.129822,0.00649111,0.05,0.4451,0.60704
6,13,2.75,1.81202,0.384596,-0.443662,112,0.110089,0.00550447,0.05,0.4451,0.60704
6,14,2.75,1.81202,0.384596,-0.443662,120,0.106116,0.00530581,0.05,0.4451,0.60704
6,15,2.75,1.81202,0.384596,-0.443662,128,0.0970019,0.00485009,0.05,0.4451,0.60704
6,16,2.75,1.81202,0.384596,-0.443662,136,0.0968644,0.00484322,0.05,0.4451,0.60704
6,17,2.75,1.81202,0.384596,-0.443662,144,0.0991848,0.00495924,0.05,0.4451,0.60704
6,18,2.75,1.81202,0.384596,-0.443662,152,0.0903184,0.00451592,0.05,0.4451,0.60704
